;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
1808,-2.192e-05,-2.54141,-2.43555
1809,-2.191e-05,-2.52688,-2.4646
1810,-2.19e-05,-2.52688,-2.4646
1811,-2.189e-05,-2.51236,-2.49365
1812,-2.188e-05,-2.52688,-2.4646
1813,-2.187e-05,-2.51236,-2.49365
1814,-2.186e-05,-2.52688,-2.4646
1815,-2.185e-05,-2.51236,-2.47913
1816,-2.184e-05,-2.54141,-2.47913
1817,-2.183e-05,-2.51236,-2.43555
1818,-2.182e-05,-2.52688,-2.4646
1819,-2.181e-05,-2.51236,-2.4646
1820,-2.18e-05,-2.54141,-2.43555
1821,-2.179e-05,-2.52688,-2.4646
1822,-2.178e-05,-2.52688,-2.4646
1823,-2.177e-05,-2.51236,-2.47913
1824,-2.176e-05,-2.51236,-2.4646
1825,-2.175e-05,-2.54141,-2.4646
1826,-2.174e-05,-2.52688,-2.43555
1827,-2.173e-05,-2.51236,-2.47913
1828,-2.172e-05,-2.52688,-2.47913
1829,-2.171e-05,-2.52688,-2.47913
1830,-2.17e-05,-2.51236,-2.4646
1831,-2.169e-05,-2.51236,-2.47913
1832,-2.168e-05,-2.51236,-2.43555
1833,-2.167e-05,-2.54141,-2.47913
1834,-2.166e-05,-2.57046,-2.47913
1835,-2.165e-05,-2.54141,-2.4646
1836,-2.164e-05,-2.51236,-2.4646
1837,-2.163e-05,-2.49783,-2.47913
1838,-2.162e-05,-2.54141,-2.4646
1839,-2.161e-05,-2.54141,-2.4646
1840,-2.16e-05,-2.49783,-2.43555
1841,-2.159e-05,-2.55593,-2.47913
1842,-2.158e-05,-2.51236,-2.47913
1843,-2.157e-05,-2.52688,-2.4646
1844,-2.156e-05,-2.52688,-2.47913
1845,-2.155e-05,-2.54141,-2.4646
1846,-2.154e-05,-2.54141,-2.4646
1847,-2.153e-05,-2.54141,-2.4646
1848,-2.152e-05,-2.52688,-2.4646
1849,-2.151e-05,-2.51236,-2.4646
1850,-2.15e-05,-2.52688,-2.4646
1851,-2.149e-05,-2.54141,-2.49365
1852,-2.148e-05,-2.49783,-2.4646
1853,-2.147e-05,-2.52688,-2.47913
1854,-2.146e-05,-2.51236,-2.4646
1855,-2.145e-05,-2.55593,-2.50818
1856,-2.144e-05,-2.52688,-2.47913
1857,-2.143e-05,-2.55593,-2.47913
1858,-2.142e-05,-2.52688,-2.43555
1859,-2.141e-05,-2.54141,-2.47913
1860,-2.14e-05,-2.54141,-2.47913
1861,-2.139e-05,-2.51236,-2.47913
1862,-2.138e-05,-2.52688,-2.47913
1863,-2.137e-05,-2.52688,-2.43555
1864,-2.136e-05,-2.51236,-2.43555
1865,-2.135e-05,-2.51236,-2.47913
1866,-2.134e-05,-2.51236,-2.47913
1867,-2.133e-05,-2.51236,-2.47913
1868,-2.132e-05,-2.51236,-2.4646
1869,-2.131e-05,-2.54141,-2.4646
1870,-2.13e-05,-2.52688,-2.4646
1871,-2.129e-05,-2.55593,-2.4646
1872,-2.128e-05,-2.54141,-2.4646
1873,-2.127e-05,-2.54141,-2.47913
1874,-2.126e-05,-2.52688,-2.47913
1875,-2.125e-05,-2.54141,-2.4646
1876,-2.124e-05,-2.55593,-2.4646
1877,-2.123e-05,-2.54141,-2.47913
1878,-2.122e-05,-2.52688,-2.4646
1879,-2.121e-05,-2.54141,-2.43555
1880,-2.12e-05,-2.55593,-2.4646
1881,-2.119e-05,-2.55593,-2.47913
1882,-2.118e-05,-2.52688,-2.47913
1883,-2.117e-05,-2.51236,-2.47913
1884,-2.116e-05,-2.52688,-2.50818
1885,-2.115e-05,-2.52688,-2.47913
1886,-2.114e-05,-2.54141,-2.47913
1887,-2.113e-05,-2.57046,-2.4646
1888,-2.112e-05,-2.54141,-2.4646
1889,-2.111e-05,-2.54141,-2.47913
1890,-2.11e-05,-2.52688,-2.4646
1891,-2.109e-05,-2.54141,-2.47913
1892,-2.108e-05,-2.54141,-2.4646
1893,-2.107e-05,-2.54141,-2.47913
1894,-2.106e-05,-2.54141,-2.49365
1895,-2.105e-05,-2.57046,-2.4646
1896,-2.104e-05,-2.55593,-2.4646
1897,-2.103e-05,-2.52688,-2.43555
1898,-2.102e-05,-2.52688,-2.47913
1899,-2.101e-05,-2.55593,-2.47913
1900,-2.1e-05,-2.55593,-2.4646
1901,-2.099e-05,-2.57046,-2.4646
1902,-2.098e-05,-2.51236,-2.4646
1903,-2.097e-05,-2.55593,-2.43555
1904,-2.096e-05,-2.54141,-2.4646
1905,-2.095e-05,-2.55593,-2.4646
1906,-2.094e-05,-2.54141,-2.4646
1907,-2.093e-05,-2.52688,-2.49365
1908,-2.092e-05,-2.55593,-2.47913
1909,-2.091e-05,-2.52688,-2.43555
1910,-2.09e-05,-2.54141,-2.47913
1911,-2.089e-05,-2.51236,-2.4646
1912,-2.088e-05,-2.57046,-2.4646
1913,-2.087e-05,-2.52688,-2.43555
1914,-2.086e-05,-2.55593,-2.4646
1915,-2.085e-05,-2.54141,-2.47913
1916,-2.084e-05,-2.54141,-2.50818
1917,-2.083e-05,-2.54141,-2.49365
1918,-2.082e-05,-2.54141,-2.49365
1919,-2.081e-05,-2.52688,-2.47913
1920,-2.08e-05,-2.52688,-2.4646
1921,-2.079e-05,-2.52688,-2.4646
1922,-2.078e-05,-2.54141,-2.4646
1923,-2.077e-05,-2.57046,-2.47913
1924,-2.076e-05,-2.52688,-2.4646
1925,-2.075e-05,-2.52688,-2.50818
1926,-2.074e-05,-2.52688,-2.43555
1927,-2.073e-05,-2.54141,-2.47913
1928,-2.072e-05,-2.52688,-2.4646
1929,-2.071e-05,-2.55593,-2.4646
1930,-2.07e-05,-2.54141,-2.43555
1931,-2.069e-05,-2.55593,-2.47913
1932,-2.068e-05,-2.54141,-2.47913
1933,-2.067e-05,-2.52688,-2.47913
1934,-2.066e-05,-2.57046,-2.4646
1935,-2.065e-05,-2.52688,-2.4646
1936,-2.064e-05,-2.55593,-2.4646
1937,-2.063e-05,-2.52688,-2.49365
1938,-2.062e-05,-2.54141,-2.4646
1939,-2.061e-05,-2.54141,-2.47913
1940,-2.06e-05,-2.52688,-2.47913
1941,-2.059e-05,-2.52688,-2.47913
1942,-2.058e-05,-2.52688,-2.47913
1943,-2.057e-05,-2.51236,-2.49365
1944,-2.056e-05,-2.54141,-2.49365
1945,-2.055e-05,-2.52688,-2.50818
1946,-2.054e-05,-2.57046,-2.49365
1947,-2.053e-05,-2.54141,-2.49365
1948,-2.052e-05,-2.52688,-2.47913
1949,-2.051e-05,-2.52688,-2.49365
1950,-2.05e-05,-2.54141,-2.4646
1951,-2.049e-05,-2.55593,-2.47913
1952,-2.048e-05,-2.54141,-2.47913
1953,-2.047e-05,-2.52688,-2.49365
1954,-2.046e-05,-2.52688,-2.47913
1955,-2.045e-05,-2.54141,-2.47913
1956,-2.044e-05,-2.54141,-2.4646
1957,-2.043e-05,-2.52688,-2.47913
1958,-2.042e-05,-2.54141,-2.49365
1959,-2.041e-05,-2.52688,-2.47913
1960,-2.04e-05,-2.54141,-2.47913
1961,-2.039e-05,-2.51236,-2.47913
1962,-2.038e-05,-2.51236,-2.4646
1963,-2.037e-05,-2.52688,-2.43555
1964,-2.036e-05,-2.54141,-2.4646
1965,-2.035e-05,-2.55593,-2.4646
1966,-2.034e-05,-2.52688,-2.4646
1967,-2.033e-05,-2.52688,-2.4646
1968,-2.032e-05,-2.52688,-2.4646
1969,-2.031e-05,-2.52688,-2.4646
1970,-2.03e-05,-2.52688,-2.47913
1971,-2.029e-05,-2.52688,-2.47913
1972,-2.028e-05,-2.52688,-2.47913
1973,-2.027e-05,-2.55593,-2.49365
1974,-2.026e-05,-2.52688,-2.47913
1975,-2.025e-05,-2.51236,-2.4646
1976,-2.024e-05,-2.52688,-2.4646
1977,-2.023e-05,-2.54141,-2.50818
1978,-2.022e-05,-2.54141,-2.47913
1979,-2.021e-05,-2.54141,-2.50818
1980,-2.02e-05,-2.54141,-2.47913
1981,-2.019e-05,-2.52688,-2.4646
1982,-2.018e-05,-2.52688,-2.4646
1983,-2.017e-05,-2.52688,-2.4646
1984,-2.016e-05,-2.54141,-2.47913
1985,-2.015e-05,-2.51236,-2.43555
1986,-2.014e-05,-2.51236,-2.47913
1987,-2.013e-05,-2.52688,-2.47913
1988,-2.012e-05,-2.52688,-2.49365
1989,-2.011e-05,-2.55593,-2.4646
1990,-2.01e-05,-2.55593,-2.43555
1991,-2.009e-05,-2.52688,-2.49365
1992,-2.008e-05,-2.55593,-2.47913
1993,-2.007e-05,-2.52688,-2.49365
1994,-2.006e-05,-2.55593,-2.49365
1995,-2.005e-05,-2.52688,-2.47913
1996,-2.004e-05,-2.54141,-2.4646
1997,-2.003e-05,-2.54141,-2.47913
1998,-2.002e-05,-2.52688,-2.4646
1999,-2.001e-05,-2.54141,-2.47913
2000,-2e-05,-2.52688,-2.47913
2001,-1.999e-05,-2.54141,-2.50818
2002,-1.998e-05,-2.54141,-2.4646
2003,-1.997e-05,-2.54141,-2.4646
2004,-1.996e-05,-2.54141,-2.49365
2005,-1.995e-05,-2.54141,-2.49365
2006,-1.994e-05,-2.52688,-2.4646
2007,-1.993e-05,-2.57046,-2.49365
2008,-1.992e-05,-2.54141,-2.47913
2009,-1.991e-05,-2.52688,-2.47913
2010,-1.99e-05,-2.52688,-2.4646
2011,-1.989e-05,-2.55593,-2.47913
2012,-1.988e-05,-2.52688,-2.43555
2013,-1.987e-05,-2.52688,-2.4646
2014,-1.986e-05,-2.51236,-2.47913
2015,-1.985e-05,-2.55593,-2.4646
2016,-1.984e-05,-2.55593,-2.47913
2017,-1.983e-05,-2.52688,-2.47913
2018,-1.982e-05,-2.52688,-2.49365
2019,-1.981e-05,-2.52688,-2.4646
2020,-1.98e-05,-2.51236,-2.47913
2021,-1.979e-05,-2.52688,-2.47913
2022,-1.978e-05,-2.52688,-2.49365
2023,-1.977e-05,-2.54141,-2.4646
2024,-1.976e-05,-2.54141,-2.47913
2025,-1.975e-05,-2.57046,-2.47913
2026,-1.974e-05,-2.57046,-2.47913
2027,-1.973e-05,-2.55593,-2.47913
2028,-1.972e-05,-2.52688,-2.47913
2029,-1.971e-05,-2.49783,-2.47913
2030,-1.97e-05,-2.54141,-2.47913
2031,-1.969e-05,-2.57046,-2.47913
2032,-1.968e-05,-2.52688,-2.47913
2033,-1.967e-05,-2.51236,-2.47913
2034,-1.966e-05,-2.52688,-2.4646
2035,-1.965e-05,-2.51236,-2.43555
2036,-1.964e-05,-2.52688,-2.47913
2037,-1.963e-05,-2.52688,-2.47913
2038,-1.962e-05,-2.54141,-2.49365
2039,-1.961e-05,-2.54141,-2.49365
2040,-1.96e-05,-2.55593,-2.4646
2041,-1.959e-05,-2.55593,-2.47913
2042,-1.958e-05,-2.54141,-2.4646
2043,-1.957e-05,-2.54141,-2.47913
2044,-1.956e-05,-2.52688,-2.4646
2045,-1.955e-05,-2.54141,-2.47913
2046,-1.954e-05,-2.52688,-2.4646
2047,-1.953e-05,-2.55593,-2.49365
2048,-1.952e-05,-2.54141,-2.4646
2049,-1.951e-05,-2.54141,-2.49365
2050,-1.95e-05,-2.54141,-2.4646
2051,-1.949e-05,-2.55593,-2.47913
2052,-1.948e-05,-2.55593,-2.47913
2053,-1.947e-05,-2.52688,-2.47913
2054,-1.946e-05,-2.52688,-2.4646
2055,-1.945e-05,-2.55593,-2.4646
2056,-1.944e-05,-2.54141,-2.47913
2057,-1.943e-05,-2.51236,-2.50818
2058,-1.942e-05,-2.55593,-2.49365
2059,-1.941e-05,-2.52688,-2.49365
2060,-1.94e-05,-2.51236,-2.47913
2061,-1.939e-05,-2.51236,-2.49365
2062,-1.938e-05,-2.54141,-2.4646
2063,-1.937e-05,-2.55593,-2.47913
2064,-1.936e-05,-2.52688,-2.47913
2065,-1.935e-05,-2.54141,-2.49365
2066,-1.934e-05,-2.55593,-2.47913
2067,-1.933e-05,-2.54141,-2.49365
2068,-1.932e-05,-2.54141,-2.4646
2069,-1.931e-05,-2.52688,-2.47913
2070,-1.93e-05,-2.54141,-2.47913
2071,-1.929e-05,-2.51236,-2.47913
2072,-1.928e-05,-2.52688,-2.49365
2073,-1.927e-05,-2.52688,-2.47913
2074,-1.926e-05,-2.54141,-2.49365
2075,-1.925e-05,-2.52688,-2.49365
2076,-1.924e-05,-2.55593,-2.49365
2077,-1.923e-05,-2.52688,-2.47913
2078,-1.922e-05,-2.52688,-2.43555
2079,-1.921e-05,-2.52688,-2.47913
2080,-1.92e-05,-2.52688,-2.47913
2081,-1.919e-05,-2.52688,-2.4646
2082,-1.918e-05,-2.52688,-2.43555
2083,-1.917e-05,-2.52688,-2.47913
2084,-1.916e-05,-2.55593,-2.43555
2085,-1.915e-05,-2.52688,-2.43555
2086,-1.914e-05,-2.54141,-2.47913
2087,-1.913e-05,-2.51236,-2.47913
2088,-1.912e-05,-2.51236,-2.4646
2089,-1.911e-05,-2.54141,-2.47913
2090,-1.91e-05,-2.54141,-2.47913
2091,-1.909e-05,-2.52688,-2.47913
2092,-1.908e-05,-2.52688,-2.49365
2093,-1.907e-05,-2.54141,-2.4646
2094,-1.906e-05,-2.55593,-2.47913
2095,-1.905e-05,-2.52688,-2.49365
2096,-1.904e-05,-2.52688,-2.49365
2097,-1.903e-05,-2.55593,-2.49365
2098,-1.902e-05,-2.49783,-2.4646
2099,-1.901e-05,-2.51236,-2.4646
2100,-1.9e-05,-2.49783,-2.4646
2101,-1.899e-05,-2.52688,-2.47913
2102,-1.898e-05,-2.49783,-2.47913
2103,-1.897e-05,-2.51236,-2.4646
2104,-1.896e-05,-2.54141,-2.4646
2105,-1.895e-05,-2.52688,-2.47913
2106,-1.894e-05,-2.52688,-2.49365
2107,-1.893e-05,-2.54141,-2.4646
2108,-1.892e-05,-2.55593,-2.4646
2109,-1.891e-05,-2.57046,-2.47913
2110,-1.89e-05,-2.54141,-2.4646
2111,-1.889e-05,-2.57046,-2.47913
2112,-1.888e-05,-2.54141,-2.43555
2113,-1.887e-05,-2.54141,-2.4646
2114,-1.886e-05,-2.54141,-2.43555
2115,-1.885e-05,-2.51236,-2.4646
2116,-1.884e-05,-2.54141,-2.47913
2117,-1.883e-05,-2.55593,-2.4646
2118,-1.882e-05,-2.52688,-2.4646
2119,-1.881e-05,-2.55593,-2.4646
2120,-1.88e-05,-2.54141,-2.49365
2121,-1.879e-05,-2.52688,-2.49365
2122,-1.878e-05,-2.52688,-2.4646
2123,-1.877e-05,-2.51236,-2.47913
2124,-1.876e-05,-2.54141,-2.4646
2125,-1.875e-05,-2.52688,-2.4646
2126,-1.874e-05,-2.55593,-2.4646
2127,-1.873e-05,-2.54141,-2.4646
2128,-1.872e-05,-2.54141,-2.47913
2129,-1.871e-05,-2.54141,-2.49365
2130,-1.87e-05,-2.54141,-2.47913
2131,-1.869e-05,-2.52688,-2.49365
2132,-1.868e-05,-2.52688,-2.47913
2133,-1.867e-05,-2.54141,-2.47913
2134,-1.866e-05,-2.54141,-2.47913
2135,-1.865e-05,-2.54141,-2.49365
2136,-1.864e-05,-2.54141,-2.47913
2137,-1.863e-05,-2.52688,-2.49365
2138,-1.862e-05,-2.55593,-2.43555
2139,-1.861e-05,-2.54141,-2.47913
2140,-1.86e-05,-2.51236,-2.43555
2141,-1.859e-05,-2.57046,-2.47913
2142,-1.858e-05,-2.54141,-2.4646
2143,-1.857e-05,-2.52688,-2.47913
2144,-1.856e-05,-2.54141,-2.4646
2145,-1.855e-05,-2.52688,-2.47913
2146,-1.854e-05,-2.58498,-2.42103
2147,-1.853e-05,-2.57046,-2.49365
2148,-1.852e-05,-2.52688,-2.43555
2149,-1.851e-05,-2.54141,-2.4646
2150,-1.85e-05,-2.52688,-2.4646
2151,-1.849e-05,-2.55593,-2.43555
2152,-1.848e-05,-2.54141,-2.47913
2153,-1.847e-05,-2.55593,-2.49365
2154,-1.846e-05,-2.52688,-2.47913
2155,-1.845e-05,-2.52688,-2.4646
2156,-1.844e-05,-2.54141,-2.43555
2157,-1.843e-05,-2.52688,-2.47913
2158,-1.842e-05,-2.55593,-2.4646
2159,-1.841e-05,-2.57046,-2.49365
2160,-1.84e-05,-2.51236,-2.47913
2161,-1.839e-05,-2.54141,-2.49365
2162,-1.838e-05,-2.55593,-2.4646
2163,-1.837e-05,-2.51236,-2.4646
2164,-1.836e-05,-2.54141,-2.47913
2165,-1.835e-05,-2.52688,-2.47913
2166,-1.834e-05,-2.52688,-2.47913
2167,-1.833e-05,-2.57046,-2.49365
2168,-1.832e-05,-2.52688,-2.4646
2169,-1.831e-05,-2.59951,-2.49365
2170,-1.83e-05,-2.52688,-2.4646
2171,-1.829e-05,-2.51236,-2.43555
2172,-1.828e-05,-2.52688,-2.4646
2173,-1.827e-05,-2.55593,-2.50818
2174,-1.826e-05,-2.51236,-2.47913
2175,-1.825e-05,-2.52688,-2.47913
2176,-1.824e-05,-2.54141,-2.50818
2177,-1.823e-05,-2.52688,-2.4646
2178,-1.822e-05,-2.52688,-2.4646
2179,-1.821e-05,-2.55593,-2.4646
2180,-1.82e-05,-2.55593,-2.4646
2181,-1.819e-05,-2.52688,-2.47913
2182,-1.818e-05,-2.49783,-2.47913
2183,-1.817e-05,-2.51236,-2.47913
2184,-1.816e-05,-2.54141,-2.50818
2185,-1.815e-05,-2.54141,-2.4646
2186,-1.814e-05,-2.52688,-2.49365
2187,-1.813e-05,-2.54141,-2.47913
2188,-1.812e-05,-2.52688,-2.47913
2189,-1.811e-05,-2.52688,-2.4646
2190,-1.81e-05,-2.52688,-2.4646
2191,-1.809e-05,-2.54141,-2.47913
2192,-1.808e-05,-2.51236,-2.4646
2193,-1.807e-05,-2.52688,-2.47913
2194,-1.806e-05,-2.54141,-2.49365
2195,-1.805e-05,-2.52688,-2.47913
2196,-1.804e-05,-2.52688,-2.4646
2197,-1.803e-05,-2.55593,-2.47913
2198,-1.802e-05,-2.54141,-2.47913
2199,-1.801e-05,-2.51236,-2.50818
2200,-1.8e-05,-2.52688,-2.47913
2201,-1.799e-05,-2.52688,-2.4646
2202,-1.798e-05,-2.52688,-2.4646
2203,-1.797e-05,-2.54141,-2.47913
2204,-1.796e-05,-2.52688,-2.47913
2205,-1.795e-05,-2.52688,-2.47913
2206,-1.794e-05,-2.49783,-2.47913
2207,-1.793e-05,-2.55593,-2.47913
2208,-1.792e-05,-2.54141,-2.47913
2209,-1.791e-05,-2.51236,-2.49365
2210,-1.79e-05,-2.51236,-2.49365
2211,-1.789e-05,-2.52688,-2.47913
2212,-1.788e-05,-2.52688,-2.47913
2213,-1.787e-05,-2.54141,-2.50818
2214,-1.786e-05,-2.52688,-2.50818
2215,-1.785e-05,-2.51236,-2.49365
2216,-1.784e-05,-2.51236,-2.47913
2217,-1.783e-05,-2.54141,-2.50818
2218,-1.782e-05,-2.52688,-2.47913
2219,-1.781e-05,-2.51236,-2.4646
2220,-1.78e-05,-2.55593,-2.4646
2221,-1.779e-05,-2.54141,-2.49365
2222,-1.778e-05,-2.51236,-2.4646
2223,-1.777e-05,-2.49783,-2.47913
2224,-1.776e-05,-2.52688,-2.49365
2225,-1.775e-05,-2.52688,-2.49365
2226,-1.774e-05,-2.54141,-2.47913
2227,-1.773e-05,-2.51236,-2.49365
2228,-1.772e-05,-2.51236,-2.47913
2229,-1.771e-05,-2.52688,-2.47913
2230,-1.77e-05,-2.49783,-2.47913
2231,-1.769e-05,-2.51236,-2.49365
2232,-1.768e-05,-2.54141,-2.47913
2233,-1.767e-05,-2.51236,-2.4646
2234,-1.766e-05,-2.51236,-2.43555
2235,-1.765e-05,-2.52688,-2.47913
2236,-1.764e-05,-2.51236,-2.4646
2237,-1.763e-05,-2.52688,-2.47913
2238,-1.762e-05,-2.51236,-2.47913
2239,-1.761e-05,-2.51236,-2.49365
2240,-1.76e-05,-2.54141,-2.43555
2241,-1.759e-05,-2.55593,-2.47913
2242,-1.758e-05,-2.51236,-2.47913
2243,-1.757e-05,-2.54141,-2.4646
2244,-1.756e-05,-2.52688,-2.43555
2245,-1.755e-05,-2.54141,-2.4646
2246,-1.754e-05,-2.51236,-2.49365
2247,-1.753e-05,-2.51236,-2.4646
2248,-1.752e-05,-2.54141,-2.4646
2249,-1.751e-05,-2.55593,-2.4646
2250,-1.75e-05,-2.51236,-2.43555
2251,-1.749e-05,-2.52688,-2.47913
2252,-1.748e-05,-2.54141,-2.50818
2253,-1.747e-05,-2.55593,-2.47913
2254,-1.746e-05,-2.52688,-2.47913
2255,-1.745e-05,-2.54141,-2.4646
2256,-1.744e-05,-2.54141,-2.4646
2257,-1.743e-05,-2.52688,-2.4646
2258,-1.742e-05,-2.54141,-2.4646
2259,-1.741e-05,-2.55593,-2.50818
2260,-1.74e-05,-2.51236,-2.49365
2261,-1.739e-05,-2.54141,-2.47913
2262,-1.738e-05,-2.55593,-2.49365
2263,-1.737e-05,-2.55593,-2.47913
2264,-1.736e-05,-2.57046,-2.47913
2265,-1.735e-05,-2.54141,-2.49365
2266,-1.734e-05,-2.57046,-2.47913
2267,-1.733e-05,-2.52688,-2.49365
2268,-1.732e-05,-2.52688,-2.4646
2269,-1.731e-05,-2.55593,-2.49365
2270,-1.73e-05,-2.51236,-2.4646
2271,-1.729e-05,-2.55593,-2.49365
2272,-1.728e-05,-2.54141,-2.4646
2273,-1.727e-05,-2.57046,-2.4646
2274,-1.726e-05,-2.55593,-2.47913
2275,-1.725e-05,-2.52688,-2.50818
2276,-1.724e-05,-2.52688,-2.47913
2277,-1.723e-05,-2.54141,-2.47913
2278,-1.722e-05,-2.51236,-2.49365
2279,-1.721e-05,-2.54141,-2.49365
2280,-1.72e-05,-2.54141,-2.47913
2281,-1.719e-05,-2.57046,-2.49365
2282,-1.718e-05,-2.52688,-2.49365
2283,-1.717e-05,-2.52688,-2.4646
2284,-1.716e-05,-2.54141,-2.47913
2285,-1.715e-05,-2.49783,-2.49365
2286,-1.714e-05,-2.54141,-2.47913
2287,-1.713e-05,-2.55593,-2.50818
2288,-1.712e-05,-2.55593,-2.47913
2289,-1.711e-05,-2.52688,-2.47913
2290,-1.71e-05,-2.54141,-2.47913
2291,-1.709e-05,-2.54141,-2.49365
2292,-1.708e-05,-2.51236,-2.47913
2293,-1.707e-05,-2.52688,-2.49365
2294,-1.706e-05,-2.54141,-2.47913
2295,-1.705e-05,-2.52688,-2.4646
2296,-1.704e-05,-2.55593,-2.47913
2297,-1.703e-05,-2.54141,-2.4646
2298,-1.702e-05,-2.55593,-2.4646
2299,-1.701e-05,-2.51236,-2.47913
2300,-1.7e-05,-2.55593,-2.4646
2301,-1.699e-05,-2.54141,-2.49365
2302,-1.698e-05,-2.57046,-2.49365
2303,-1.697e-05,-2.54141,-2.49365
2304,-1.696e-05,-2.54141,-2.47913
2305,-1.695e-05,-2.52688,-2.47913
2306,-1.694e-05,-2.55593,-2.47913
2307,-1.693e-05,-2.54141,-2.47913
2308,-1.692e-05,-2.55593,-2.4646
2309,-1.691e-05,-2.54141,-2.50818
2310,-1.69e-05,-2.54141,-2.47913
2311,-1.689e-05,-2.55593,-2.4646
2312,-1.688e-05,-2.54141,-2.47913
2313,-1.687e-05,-2.54141,-2.47913
2314,-1.686e-05,-2.55593,-2.4646
2315,-1.685e-05,-2.55593,-2.49365
2316,-1.684e-05,-2.54141,-2.49365
2317,-1.683e-05,-2.54141,-2.47913
2318,-1.682e-05,-2.54141,-2.47913
2319,-1.681e-05,-2.54141,-2.49365
2320,-1.68e-05,-2.54141,-2.49365
2321,-1.679e-05,-2.54141,-2.49365
2322,-1.678e-05,-2.51236,-2.50818
2323,-1.677e-05,-2.55593,-2.49365
2324,-1.676e-05,-2.54141,-2.47913
2325,-1.675e-05,-2.52688,-2.50818
2326,-1.674e-05,-2.54141,-2.50818
2327,-1.673e-05,-2.52688,-2.50818
2328,-1.672e-05,-2.54141,-2.47913
2329,-1.671e-05,-2.51236,-2.47913
2330,-1.67e-05,-2.52688,-2.47913
2331,-1.669e-05,-2.55593,-2.47913
2332,-1.668e-05,-2.54141,-2.47913
2333,-1.667e-05,-2.52688,-2.50818
2334,-1.666e-05,-2.52688,-2.49365
2335,-1.665e-05,-2.55593,-2.47913
2336,-1.664e-05,-2.54141,-2.49365
2337,-1.663e-05,-2.52688,-2.47913
2338,-1.662e-05,-2.52688,-2.47913
2339,-1.661e-05,-2.54141,-2.4646
2340,-1.66e-05,-2.54141,-2.4646
2341,-1.659e-05,-2.52688,-2.47913
2342,-1.658e-05,-2.54141,-2.47913
2343,-1.657e-05,-2.52688,-2.47913
2344,-1.656e-05,-2.54141,-2.4646
2345,-1.655e-05,-2.54141,-2.47913
2346,-1.654e-05,-2.55593,-2.47913
2347,-1.653e-05,-2.54141,-2.50818
2348,-1.652e-05,-2.54141,-2.47913
2349,-1.651e-05,-2.54141,-2.50818
2350,-1.65e-05,-2.54141,-2.49365
2351,-1.649e-05,-2.54141,-2.50818
2352,-1.648e-05,-2.54141,-2.49365
2353,-1.647e-05,-2.52688,-2.50818
2354,-1.646e-05,-2.52688,-2.49365
2355,-1.645e-05,-2.52688,-2.49365
2356,-1.644e-05,-2.55593,-2.49365
2357,-1.643e-05,-2.52688,-2.49365
2358,-1.642e-05,-2.55593,-2.49365
2359,-1.641e-05,-2.54141,-2.49365
2360,-1.64e-05,-2.52688,-2.50818
2361,-1.639e-05,-2.52688,-2.49365
2362,-1.638e-05,-2.54141,-2.49365
2363,-1.637e-05,-2.52688,-2.49365
2364,-1.636e-05,-2.54141,-2.47913
2365,-1.635e-05,-2.57046,-2.50818
2366,-1.634e-05,-2.54141,-2.49365
2367,-1.633e-05,-2.51236,-2.49365
2368,-1.632e-05,-2.52688,-2.5227
2369,-1.631e-05,-2.54141,-2.49365
2370,-1.63e-05,-2.54141,-2.49365
2371,-1.629e-05,-2.57046,-2.49365
2372,-1.628e-05,-2.55593,-2.49365
2373,-1.627e-05,-2.57046,-2.47913
2374,-1.626e-05,-2.54141,-2.49365
2375,-1.625e-05,-2.51236,-2.47913
2376,-1.624e-05,-2.52688,-2.49365
2377,-1.623e-05,-2.54141,-2.50818
2378,-1.622e-05,-2.52688,-2.47913
2379,-1.621e-05,-2.55593,-2.49365
2380,-1.62e-05,-2.54141,-2.49365
2381,-1.619e-05,-2.54141,-2.49365
2382,-1.618e-05,-2.52688,-2.47913
2383,-1.617e-05,-2.52688,-2.50818
2384,-1.616e-05,-2.54141,-2.47913
2385,-1.615e-05,-2.54141,-2.47913
2386,-1.614e-05,-2.55593,-2.50818
2387,-1.613e-05,-2.54141,-2.49365
2388,-1.612e-05,-2.57046,-2.47913
2389,-1.611e-05,-2.57046,-2.4646
2390,-1.61e-05,-2.54141,-2.4646
2391,-1.609e-05,-2.57046,-2.47913
2392,-1.608e-05,-2.55593,-2.50818
2393,-1.607e-05,-2.54141,-2.47913
2394,-1.606e-05,-2.55593,-2.4646
2395,-1.605e-05,-2.54141,-2.47913
2396,-1.604e-05,-2.55593,-2.49365
2397,-1.603e-05,-2.54141,-2.49365
2398,-1.602e-05,-2.54141,-2.50818
2399,-1.601e-05,-2.57046,-2.49365
2400,-1.6e-05,-2.55593,-2.47913
2401,-1.599e-05,-2.55593,-2.47913
2402,-1.598e-05,-2.54141,-2.49365
2403,-1.597e-05,-2.57046,-2.47913
2404,-1.596e-05,-2.54141,-2.47913
2405,-1.595e-05,-2.57046,-2.50818
2406,-1.594e-05,-2.54141,-2.47913
2407,-1.593e-05,-2.52688,-2.50818
2408,-1.592e-05,-2.52688,-2.4646
2409,-1.591e-05,-2.52688,-2.47913
2410,-1.59e-05,-2.55593,-2.49365
2411,-1.589e-05,-2.54141,-2.49365
