;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
154,-3.846e-05,2.52781,2.48841
155,-3.845e-05,2.54233,2.45936
156,-3.844e-05,2.57138,2.50294
157,-3.843e-05,2.54233,2.47389
158,-3.842e-05,2.55686,2.50294
159,-3.841e-05,2.52781,2.50294
160,-3.84e-05,2.52781,2.54651
161,-3.839e-05,2.54233,2.48841
162,-3.838e-05,2.54233,2.47389
163,-3.837e-05,2.52781,2.44484
164,-3.836e-05,2.54233,2.48841
165,-3.835e-05,2.55686,2.48841
166,-3.834e-05,2.55686,2.51746
167,-3.833e-05,2.54233,2.47389
168,-3.832e-05,2.55686,2.50294
169,-3.831e-05,2.52781,2.45936
170,-3.83e-05,2.54233,2.47389
171,-3.829e-05,2.51328,2.45936
172,-3.828e-05,2.54233,2.48841
173,-3.827e-05,2.54233,2.48841
174,-3.826e-05,2.55686,2.50294
175,-3.825e-05,2.52781,2.50294
176,-3.824e-05,2.52781,2.47389
177,-3.823e-05,2.55686,2.48841
178,-3.822e-05,2.54233,2.48841
179,-3.821e-05,2.52781,2.48841
180,-3.82e-05,2.54233,2.48841
181,-3.819e-05,2.55686,2.47389
182,-3.818e-05,2.55686,2.50294
183,-3.817e-05,2.51328,2.50294
184,-3.816e-05,2.52781,2.50294
185,-3.815e-05,2.54233,2.48841
186,-3.814e-05,2.52781,2.48841
187,-3.813e-05,2.55686,2.47389
188,-3.812e-05,2.54233,2.48841
189,-3.811e-05,2.52781,2.48841
190,-3.81e-05,2.52781,2.48841
191,-3.809e-05,2.52781,2.47389
192,-3.808e-05,2.55686,2.48841
193,-3.807e-05,2.55686,2.47389
194,-3.806e-05,2.52781,2.45936
195,-3.805e-05,2.54233,2.45936
196,-3.804e-05,2.54233,2.50294
197,-3.803e-05,2.54233,2.45936
198,-3.802e-05,2.52781,2.48841
199,-3.801e-05,2.52781,2.47389
200,-3.8e-05,2.55686,2.48841
201,-3.799e-05,2.52781,2.47389
202,-3.798e-05,2.54233,2.47389
203,-3.797e-05,2.55686,2.48841
204,-3.796e-05,2.57138,2.47389
205,-3.795e-05,2.54233,2.48841
206,-3.794e-05,2.52781,2.47389
207,-3.793e-05,2.55686,2.47389
208,-3.792e-05,2.55686,2.48841
209,-3.791e-05,2.57138,2.47389
210,-3.79e-05,2.52781,2.48841
211,-3.789e-05,2.55686,2.48841
212,-3.788e-05,2.52781,2.48841
213,-3.787e-05,2.54233,2.47389
214,-3.786e-05,2.54233,2.48841
215,-3.785e-05,2.54233,2.47389
216,-3.784e-05,2.52781,2.48841
217,-3.783e-05,2.54233,2.47389
218,-3.782e-05,2.52781,2.48841
219,-3.781e-05,2.57138,2.45936
220,-3.78e-05,2.54233,2.47389
221,-3.779e-05,2.54233,2.45936
222,-3.778e-05,2.54233,2.47389
223,-3.777e-05,2.55686,2.47389
224,-3.776e-05,2.55686,2.48841
225,-3.775e-05,2.52781,2.47389
226,-3.774e-05,2.54233,2.45936
227,-3.773e-05,2.55686,2.47389
228,-3.772e-05,2.52781,2.48841
229,-3.771e-05,2.54233,2.47389
230,-3.77e-05,2.55686,2.48841
231,-3.769e-05,2.51328,2.47389
232,-3.768e-05,2.54233,2.45936
233,-3.767e-05,2.55686,2.47389
234,-3.766e-05,2.57138,2.50294
235,-3.765e-05,2.54233,2.48841
236,-3.764e-05,2.57138,2.47389
237,-3.763e-05,2.52781,2.47389
238,-3.762e-05,2.52781,2.45936
239,-3.761e-05,2.52781,2.47389
240,-3.76e-05,2.55686,2.48841
241,-3.759e-05,2.55686,2.48841
242,-3.758e-05,2.52781,2.48841
243,-3.757e-05,2.55686,2.47389
244,-3.756e-05,2.54233,2.47389
245,-3.755e-05,2.54233,2.48841
246,-3.754e-05,2.57138,2.48841
247,-3.753e-05,2.51328,2.45936
248,-3.752e-05,2.52781,2.50294
249,-3.751e-05,2.54233,2.48841
250,-3.75e-05,2.55686,2.48841
251,-3.749e-05,2.52781,2.48841
252,-3.748e-05,2.54233,2.48841
253,-3.747e-05,2.52781,2.47389
254,-3.746e-05,2.52781,2.48841
255,-3.745e-05,2.52781,2.47389
256,-3.744e-05,2.54233,2.48841
257,-3.743e-05,2.54233,2.51746
258,-3.742e-05,2.54233,2.50294
259,-3.741e-05,2.52781,2.47389
260,-3.74e-05,2.54233,2.50294
261,-3.739e-05,2.52781,2.48841
262,-3.738e-05,2.52781,2.48841
263,-3.737e-05,2.55686,2.47389
264,-3.736e-05,2.54233,2.47389
265,-3.735e-05,2.52781,2.47389
266,-3.734e-05,2.52781,2.48841
267,-3.733e-05,2.52781,2.51746
268,-3.732e-05,2.54233,2.47389
269,-3.731e-05,2.55686,2.50294
270,-3.73e-05,2.55686,2.50294
271,-3.729e-05,2.54233,2.48841
272,-3.728e-05,2.54233,2.48841
273,-3.727e-05,2.52781,2.48841
274,-3.726e-05,2.54233,2.48841
275,-3.725e-05,2.54233,2.47389
276,-3.724e-05,2.52781,2.47389
277,-3.723e-05,2.52781,2.44484
278,-3.722e-05,2.54233,2.48841
279,-3.721e-05,2.55686,2.45936
280,-3.72e-05,2.55686,2.50294
281,-3.719e-05,2.52781,2.47389
282,-3.718e-05,2.54233,2.48841
283,-3.717e-05,2.54233,2.48841
284,-3.716e-05,2.54233,2.47389
285,-3.715e-05,2.54233,2.45936
286,-3.714e-05,2.54233,2.45936
287,-3.713e-05,2.54233,2.50294
288,-3.712e-05,2.57138,2.48841
289,-3.711e-05,2.54233,2.48841
290,-3.71e-05,2.52781,2.48841
291,-3.709e-05,2.55686,2.47389
292,-3.708e-05,2.54233,2.50294
293,-3.707e-05,2.52781,2.47389
294,-3.706e-05,2.54233,2.48841
295,-3.705e-05,2.57138,2.47389
296,-3.704e-05,2.55686,2.48841
297,-3.703e-05,2.55686,2.48841
298,-3.702e-05,2.54233,2.51746
299,-3.701e-05,2.54233,2.47389
300,-3.7e-05,2.55686,2.48841
301,-3.699e-05,2.54233,2.47389
302,-3.698e-05,2.52781,2.47389
303,-3.697e-05,2.54233,2.47389
304,-3.696e-05,2.57138,2.47389
305,-3.695e-05,2.54233,2.47389
306,-3.694e-05,2.52781,2.47389
307,-3.693e-05,2.54233,2.48841
308,-3.692e-05,2.55686,2.47389
309,-3.691e-05,2.55686,2.45936
310,-3.69e-05,2.55686,2.48841
311,-3.689e-05,2.54233,2.48841
312,-3.688e-05,2.51328,2.48841
313,-3.687e-05,2.55686,2.48841
314,-3.686e-05,2.57138,2.47389
315,-3.685e-05,2.54233,2.48841
316,-3.684e-05,2.54233,2.47389
317,-3.683e-05,2.54233,2.47389
318,-3.682e-05,2.55686,2.47389
319,-3.681e-05,2.55686,2.47389
320,-3.68e-05,2.52781,2.50294
321,-3.679e-05,2.52781,2.47389
322,-3.678e-05,2.55686,2.47389
323,-3.677e-05,2.54233,2.45936
324,-3.676e-05,2.54233,2.47389
325,-3.675e-05,2.51328,2.47389
326,-3.674e-05,2.55686,2.48841
327,-3.673e-05,2.54233,2.50294
328,-3.672e-05,2.51328,2.50294
329,-3.671e-05,2.52781,2.45936
330,-3.67e-05,2.52781,2.47389
331,-3.669e-05,2.54233,2.45936
332,-3.668e-05,2.52781,2.48841
333,-3.667e-05,2.54233,2.47389
334,-3.666e-05,2.55686,2.45936
335,-3.665e-05,2.55686,2.45936
336,-3.664e-05,2.54233,2.48841
337,-3.663e-05,2.55686,2.45936
338,-3.662e-05,2.54233,2.50294
339,-3.661e-05,2.55686,2.48841
340,-3.66e-05,2.52781,2.45936
