in s,C1 in V
-1.0599E-01,-1.902E+01
-1.0597E-01,-1.970E+01
-1.0597E-01,-1.902E+01
-1.0595E-01,-1.970E+01
-1.0595E-01,-1.907E+01
-1.0593E-01,-1.980E+01
-1.0593E-01,-1.907E+01
-1.0590E-01,-1.980E+01
-1.0590E-01,-1.912E+01
-1.0588E-01,-1.980E+01
-1.0588E-01,-1.917E+01
-1.0586E-01,-1.980E+01
-1.0586E-01,-1.917E+01
-1.0584E-01,-1.985E+01
-1.0584E-01,-1.921E+01
-1.0582E-01,-1.985E+01
-1.0582E-01,-1.921E+01
-1.0580E-01,-1.995E+01
-1.0580E-01,-1.921E+01
-1.0578E-01,-1.995E+01
-1.0578E-01,-1.921E+01
-1.0575E-01,-1.995E+01
-1.0575E-01,-1.926E+01
-1.0573E-01,-1.995E+01
-1.0573E-01,-1.926E+01
-1.0571E-01,-1.995E+01
-1.0571E-01,-1.926E+01
-1.0569E-01,-1.995E+01
-1.0569E-01,-1.926E+01
-1.0567E-01,-2.004E+01
-1.0567E-01,-1.931E+01
-1.0565E-01,-2.004E+01
-1.0565E-01,-1.931E+01
-1.0562E-01,-2.004E+01
-1.0562E-01,-1.941E+01
-1.0560E-01,-2.014E+01
-1.0560E-01,-1.941E+01
-1.0558E-01,-2.014E+01
-1.0558E-01,-1.941E+01
-1.0556E-01,-2.014E+01
-1.0556E-01,-1.946E+01
-1.0554E-01,-2.014E+01
-1.0554E-01,-1.946E+01
-1.0552E-01,-2.019E+01
-1.0552E-01,-1.946E+01
-1.0549E-01,-2.019E+01
-1.0549E-01,-1.956E+01
-1.0547E-01,-2.034E+01
-1.0547E-01,-1.956E+01
-1.0545E-01,-2.034E+01
-1.0545E-01,-1.960E+01
-1.0543E-01,-2.039E+01
-1.0543E-01,-1.965E+01
-1.0541E-01,-2.039E+01
-1.0541E-01,-1.970E+01
-1.0539E-01,-2.048E+01
-1.0539E-01,-1.970E+01
-1.0536E-01,-2.053E+01
-1.0536E-01,-1.980E+01
-1.0534E-01,-2.058E+01
-1.0534E-01,-1.980E+01
-1.0532E-01,-2.058E+01
-1.0532E-01,-1.990E+01
-1.0530E-01,-2.058E+01
-1.0530E-01,-1.990E+01
-1.0528E-01,-2.068E+01
-1.0528E-01,-1.995E+01
-1.0526E-01,-2.078E+01
-1.0526E-01,-2.000E+01
-1.0524E-01,-2.078E+01
-1.0524E-01,-2.009E+01
-1.0521E-01,-2.078E+01
-1.0521E-01,-2.004E+01
-1.0519E-01,-2.083E+01
-1.0519E-01,-2.004E+01
-1.0517E-01,-2.083E+01
-1.0517E-01,-2.014E+01
-1.0515E-01,-2.087E+01
-1.0515E-01,-2.014E+01
-1.0513E-01,-2.087E+01
-1.0513E-01,-2.019E+01
-1.0511E-01,-2.087E+01
-1.0511E-01,-2.019E+01
-1.0508E-01,-2.087E+01
-1.0508E-01,-2.019E+01
-1.0506E-01,-2.087E+01
-1.0506E-01,-2.024E+01
-1.0504E-01,-2.087E+01
-1.0504E-01,-2.024E+01
-1.0502E-01,-2.087E+01
-1.0502E-01,-2.024E+01
-1.0500E-01,-2.092E+01
-1.0500E-01,-2.024E+01
-1.0498E-01,-2.097E+01
-1.0498E-01,-2.029E+01
-1.0495E-01,-2.097E+01
-1.0495E-01,-2.029E+01
-1.0493E-01,-2.092E+01
-1.0493E-01,-2.029E+01
-1.0491E-01,-2.102E+01
-1.0491E-01,-2.029E+01
-1.0489E-01,-2.102E+01
-1.0489E-01,-2.034E+01
-1.0487E-01,-2.102E+01
-1.0487E-01,-2.034E+01
-1.0485E-01,-2.102E+01
-1.0485E-01,-2.034E+01
-1.0482E-01,-2.102E+01
-1.0482E-01,-2.034E+01
-1.0480E-01,-2.102E+01
-1.0480E-01,-2.034E+01
-1.0478E-01,-2.102E+01
-1.0478E-01,-2.034E+01
-1.0476E-01,-2.107E+01
-1.0476E-01,-2.039E+01
-1.0474E-01,-2.107E+01
-1.0474E-01,-2.039E+01
-1.0472E-01,-2.107E+01
-1.0472E-01,-2.039E+01
-1.0470E-01,-2.107E+01
-1.0470E-01,-2.039E+01
-1.0467E-01,-2.107E+01
-1.0467E-01,-2.039E+01
-1.0465E-01,-2.107E+01
-1.0465E-01,-2.039E+01
-1.0463E-01,-2.107E+01
-1.0463E-01,-2.039E+01
-1.0461E-01,-2.107E+01
-1.0461E-01,-2.043E+01
-1.0459E-01,-2.107E+01
-1.0459E-01,-2.043E+01
-1.0457E-01,-2.107E+01
-1.0457E-01,-2.043E+01
-1.0454E-01,-2.107E+01
-1.0454E-01,-2.043E+01
-1.0452E-01,-2.107E+01
-1.0452E-01,-2.043E+01
-1.0450E-01,-2.107E+01
-1.0450E-01,-2.043E+01
-1.0448E-01,-2.107E+01
-1.0448E-01,-2.043E+01
-1.0446E-01,-2.107E+01
-1.0446E-01,-2.043E+01
-1.0444E-01,-2.107E+01
-1.0444E-01,-2.043E+01
-1.0441E-01,-2.107E+01
-1.0441E-01,-2.043E+01
-1.0439E-01,-2.107E+01
-1.0439E-01,-2.043E+01
-1.0437E-01,-2.107E+01
-1.0437E-01,-2.043E+01
-1.0435E-01,-2.107E+01
-1.0435E-01,-2.043E+01
-1.0433E-01,-2.112E+01
-1.0433E-01,-2.043E+01
-1.0431E-01,-2.112E+01
-1.0431E-01,-2.043E+01
-1.0428E-01,-2.112E+01
